TimeUS,Alt,Airspeed,GroundSpeed,Roll,Pitch,ThrOut,Volt,Curr,SolarW,TurbineW,MastMM,Temp
0,1.608,0.000,0.000,-0.267,4.026,0.000,12.620,-1.580,26.684,0.000,0.000,15.390
500000,1.834,0.000,0.000,-1.577,1.542,0.011,12.544,-1.488,26.452,0.000,0.000,14.988
1000000,1.628,0.000,0.000,-0.042,2.462,0.004,12.612,-1.567,27.935,0.000,0.000,15.125
1500000,2.130,0.000,0.000,0.826,5.356,0.000,12.605,-1.430,26.442,0.000,0.000,15.075
2000000,2.476,0.000,0.000,0.506,2.082,0.000,12.591,-1.435,25.402,0.000,0.000,15.155
2500000,2.129,0.000,0.000,0.511,2.215,0.000,12.544,-1.519,26.023,0.000,0.000,14.783
3000000,1.996,0.000,0.000,0.634,1.390,0.000,12.586,-1.420,25.165,0.000,0.000,15.145
3500000,2.453,0.000,0.000,-4.377,0.317,0.002,12.606,-1.340,24.845,0.000,0.000,15.688
4000000,1.500,0.000,0.000,0.993,3.926,0.015,12.590,-1.271,24.562,0.000,0.000,15.531
4500000,2.556,0.000,0.000,0.631,1.206,0.000,12.584,-1.315,24.556,0.000,0.000,15.159
5000000,2.392,0.000,0.000,1.367,2.265,0.016,12.637,-1.570,27.391,0.000,0.000,15.276
5500000,2.325,0.000,0.000,-0.847,2.418,0.000,12.565,-1.438,25.648,0.000,0.000,14.806
6000000,2.208,0.000,0.000,2.064,-0.125,0.000,12.606,-1.360,26.335,0.000,0.000,14.881
6500000,1.767,0.000,0.000,-0.952,-0.439,0.000,12.595,-1.407,25.455,0.000,0.000,15.534
7000000,2.315,0.000,0.000,1.553,1.786,0.000,12.605,-1.270,24.657,0.000,0.000,14.866
7500000,2.059,0.000,0.000,-0.470,4.408,0.000,12.584,-1.451,26.681,0.000,0.000,14.950
8000000,2.668,0.000,0.000,0.586,4.993,0.004,12.585,-1.376,25.150,0.000,0.000,14.773
8500000,1.650,0.000,0.000,0.457,0.906,0.000,12.615,-1.425,24.949,0.000,0.000,14.531
9000000,2.272,0.000,0.000,-0.463,1.208,0.005,12.613,-1.394,25.454,0.000,0.000,14.933
9500000,1.834,0.000,0.000,0.086,0.019,0.021,12.611,-1.315,25.441,0.000,0.000,15.286
10000000,2.324,0.000,0.000,0.649,0.846,0.000,12.593,-1.325,24.701,0.000,0.000,15.233
10500000,1.473,0.000,0.000,1.302,1.606,0.000,12.610,-1.433,25.784,0.000,0.000,15.199
11000000,2.013,0.000,0.000,-2.463,-0.151,0.000,12.607,-1.440,26.793,0.000,0.000,15.190
11500000,1.772,0.000,0.000,-0.059,-1.973,0.007,12.610,-1.364,25.751,0.000,0.000,15.355
12000000,1.692,0.000,0.000,0.387,0.601,0.001,12.632,-1.328,25.160,0.000,0.000,14.745
